State name,District name,Population 2011,Population 2001,% Change in population,
KARNATAKA,Chikkaballapura,1255104,1849283,-32.13,
KARNATAKA,Chikmagalur,1137961,1140905,-0.26,
ASSAM,Chirang,482162,1140905,-57.74,
KARNATAKA,Chitradurga,1659456,1517896,9.33,
UTTAR PRADESH,Chitrakoot,991730,766225,29.43,
RAJASTHAN,Chittaurgarh,1544338,1803524,-14.37,
ANDHRA PRADESH,Chittoor,4174064,3745875,11.43,
MANIPUR,Churachandpur,274143,227905,20.29,
RAJASTHAN,Churu,2039547,1923878,6.01,
TAMIL NADU,Coimbatore,3458045,4271856,-19.05,
TAMIL NADU,Cuddalore,2605914,2285395,14.02,
ORISSA,Cuttack,2624470,2341094,12.10,
DADRA AND NAGAR HAVELI,Dadra AND Nagar Haveli,343709,2341094,-85.32,
CHHATTISGARH,Dakshin Bastar Dantewada,533638,220490,142.02,
WEST BENGAL,Dakshin Dinajpur,1676276,220490,660.25,
KARNATAKA,Dakshina Kannada,2089649,220490,847.73,
DAMAN AND DIU,Daman,191173,113989,67.71,
MADHYA PRADESH,Damoh,1264219,1083949,16.63,
BIHAR,Darbhanga,3937385,3295789,19.47,
WEST BENGAL,Darjiling,1846823,1609172,14.77,
ASSAM,Darrang,928500,1504320,-38.28,
MADHYA PRADESH,Datia,786754,628240,25.23,
RAJASTHAN,Dausa,1634409,1317063,24.09,
KARNATAKA,Davanagere,1945497,1790952,8.63,
ORISSA,Debagarh,312520,274108,14.01,
UTTARAKHAND,Dehradun,1696694,1282143,32.33,
JHARKHAND,Deoghar,1492073,1165390,28.03,
UTTAR PRADESH,Deoria,3100946,2712650,14.31,
MADHYA PRADESH,Dewas,1563715,1308223,19.53,
TRIPURA,Dhalai,378230,307868,22.85,
CHHATTISGARH,Dhamtari,799781,706591,13.19,
JHARKHAND,Dhanbad,2684487,2397102,11.99,
MADHYA PRADESH,Dhar,2185793,1740329,25.60,
TAMIL NADU,Dharmapuri,1506843,2856300,-47.24,
KARNATAKA,Dharwad,1847023,1604253,15.13,
RAJASTHAN,Dhaulpur,1206516,983258,22.71,
ASSAM,Dhemaji,686133,571944,19.97,
ORISSA,Dhenkanal,1192811,1066878,11.80,
ASSAM,Dhubri,1949258,1637344,19.05,
MAHARASHTRA,Dhule,2050862,1707947,20.08,
ARUNACHAL PRADESH,Dibang Valley,8004,1707947,-99.53,
ASSAM,Dibrugarh,1326335,1185072,11.92,
ASSAM,Dima Hasao,214102,1185072,-81.93,
NAGALAND,Dimapur,378811,309024,22.58,
TAMIL NADU,Dindigul,2159775,1923014,12.31,
MADHYA PRADESH,Dindori,704524,580730,21.32,
DAMAN AND DIU,Diu,52074,44215,17.77,
JAMMU AND KASHMIR,Doda,409936,691929,-40.75,
GUJARAT,Dohad,2127086,1636433,29.98,
JHARKHAND,Dumka,1321442,1759602,-24.90,
RAJASTHAN,Dungarpur,1388552,1107643,25.36,
CHHATTISGARH,Durg,3343872,2810436,18.98,
NCT OF DELHI,East,1709346,245040,597.58,
SIKKIM,East District,283583,245040,15.73,
MEGHALAYA,East Garo Hills,317917,245040,29.74,
ANDHRA PRADESH,East Godavari,5154296,245040,'2,003.45',
ARUNACHAL PRADESH,East Kameng,78690,245040,-67.89,
MEGHALAYA,East Khasi Hills,825922,245040,237.06,
ARUNACHAL PRADESH,East Siang,99214,245040,-59.51,
KERALA,Ernakulam,3282388,3105798,5.69,
TAMIL NADU,Erode,2251744,2581500,-12.77,
UTTAR PRADESH,Etah,1774480,2790410,-36.41,
UTTAR PRADESH,Etawah,1581810,1338871,18.15,
UTTAR PRADESH,Faizabad,2470996,2088928,18.29,
HARYANA,Faridabad,1809733,2194586,-17.54,
PUNJAB,Faridkot,617508,550892,12.09,
UTTAR PRADESH,Farrukhabad,1885204,1570408,20.05,
HARYANA,Fatehabad,942011,806158,16.85,
PUNJAB,Fatehgarh Sahib,600163,806158,-25.55,
UTTAR PRADESH,Fatehpur,2632733,2308384,14.05,
UTTAR PRADESH,Firozabad,2498156,2052958,21.69,
PUNJAB,Firozpur,2029074,1746107,16.21,
KARNATAKA,Gadag,1064570,971835,9.54,
MAHARASHTRA,Gadchiroli,1072942,970294,10.58,
ORISSA,Gajapati,577817,518837,11.37,
JAMMU AND KASHMIR,Ganderbal,297446,518837,-42.67,
GUJARAT,Gandhinagar,1391753,1334455,4.29,
RAJASTHAN,Ganganagar,1969168,1789423,10.04,
ORISSA,Ganjam,3529031,3160635,11.66,
JHARKHAND,Garhwa,1322784,1035464,27.75,
UTTARAKHAND,Garhwal,687271,697078,-1.41,
UTTAR PRADESH,Gautam Buddha Nagar,1648115,697078,136.43,
BIHAR,Gaya,4391418,3473428,26.43,
UTTAR PRADESH,Ghaziabad,4681645,3290586,42.27,
UTTAR PRADESH,Ghazipur,3620268,3037582,19.18,
JHARKHAND,Giridih,2445474,1904430,28.41,
ASSAM,Goalpara,1008183,822035,22.64,
JHARKHAND,Godda,1313551,1047939,25.35,
ASSAM,Golaghat,1066888,946279,12.75,
UTTAR PRADESH,Gonda,3433919,2765586,24.17,
MAHARASHTRA,Gondiya,1322507,1200707,10.14,
BIHAR,Gopalganj,2562012,2152638,19.02,
UTTAR PRADESH,Gorakhpur,4440895,3769456,17.81,
KARNATAKA,Gulbarga,2566326,3130922,-18.03,
JHARKHAND,Gumla,1025213,1346767,-23.88,
MADHYA PRADESH,Guna,1241519,1666767,-25.51,
ANDHRA PRADESH,Guntur,4887813,4465144,9.47,
PUNJAB,Gurdaspur,2298323,2104011,9.24,
HARYANA,Gurgaon,1514432,1660289,-8.79,
MADHYA PRADESH,Gwalior,2032036,1632109,24.50,
ASSAM,Hailakandi,659296,542872,21.45,
HIMACHAL PRADESH,Hamirpur,454768,1043724,-56.43,
UTTAR PRADESH,Hamirpur,1104285,1043724,5.80,
RAJASTHAN,Hanumangarh,1774692,1518005,16.91,
WEST BENGAL,Haora,4850029,4273099,13.50,
MADHYA PRADESH,Harda,570465,474416,20.25,
UTTAR PRADESH,Hardoi,4092845,3398306,20.44,
UTTARAKHAND,Hardwar,1890422,1447187,30.63,
KARNATAKA,Hassan,1776421,1721669,3.18,
KARNATAKA,Haveri,1597668,1439116,11.02,
JHARKHAND,Hazaribagh,1734495,2277475,-23.84,
MAHARASHTRA,Hingoli,1177345,987160,19.27,
HARYANA,Hisar,1743931,1537117,13.45,
MADHYA PRADESH,Hoshangabad,1241350,1084265,14.49,
PUNJAB,Hoshiarpur,1586625,1480736,7.15,
WEST BENGAL,Hugli,5519145,5041976,9.46,
ANDHRA PRADESH,Hyderabad,3943323,3829753,2.97,
KERALA,Idukki,1108974,1129221,-1.79,
MANIPUR,Imphal East,456113,1129221,-59.61,
MANIPUR,Imphal West,517992,1129221,-54.13,
MADHYA PRADESH,Indore,3276697,2465827,32.88,
MADHYA PRADESH,Jabalpur,2463289,2151203,14.51,
ORISSA,Jagatsinghapur,1136971,1057629,7.50,
MEGHALAYA,Jaintia Hills,395124,1057629,-62.64,
RAJASTHAN,Jaipur,6626178,5251071,26.19,
RAJASTHAN,Jaisalmer,669919,508247,31.81,
ORISSA,Jajapur,1827192,1624341,12.49,
PUNJAB,Jalandhar,2193590,1962700,11.76,
UTTAR PRADESH,Jalaun,1689974,1454452,16.19,
MAHARASHTRA,Jalgaon,4229917,3682690,14.86,
MAHARASHTRA,Jalna,1959046,1612980,21.46,
RAJASTHAN,Jalor,1828730,1448940,26.21,
WEST BENGAL,Jalpaiguri,3872846,3401173,13.87,
JAMMU AND KASHMIR,Jammu,1529958,1588772,-3.70,
GUJARAT,Jamnagar,2160119,1904278,13.44,
JHARKHAND,Jamtara,791042,1904278,-58.46,
BIHAR,Jamui,1760405,1398796,25.85,
CHHATTISGARH,Janjgir - Champa,1619707,1398796,15.79,
CHHATTISGARH,Jashpur,851669,743160,14.60,
UTTAR PRADESH,Jaunpur,4494204,3911679,14.89,
BIHAR,Jehanabad,1125313,1514315,-25.69,
MADHYA PRADESH,Jhabua,1025048,1394561,-26.50,
HARYANA,Jhajjar,958405,880072,8.90,
RAJASTHAN,Jhalawar,1411129,1180323,19.55,
UTTAR PRADESH,Jhansi,1998603,1744931,14.54,
ORISSA,Jharsuguda,579505,509716,13.69,
RAJASTHAN,Jhunjhunun,2137045,1913689,11.67,
HARYANA,Jind,1334152,1189827,12.13,
RAJASTHAN,Jodhpur,3687165,2886505,27.74,
ASSAM,Jorhat,1092256,999221,9.31,
GUJARAT,Junagadh,2743082,2448173,12.05,
UTTAR PRADESH,Jyotiba Phule Nagar,1840221,2448173,-24.83,
CHHATTISGARH,Kabeerdham,822526,1499068,-45.13,
GUJARAT,Kachchh,2092371,1583225,32.16,
BIHAR,Kaimur (Bhabua),1626384,1289074,26.17,
HARYANA,Kaithal,1074304,946131,13.55,
ORISSA,Kalahandi,1576869,1335494,18.07,
ASSAM,Kamrup,1517542,2522324,-39.84,
ASSAM,Kamrup Metropolitan,1253938,2522324,-50.29,
TAMIL NADU,Kancheepuram,3998252,2877468,38.95,
ORISSA,Kandhamal,733110,648201,13.10,
HIMACHAL PRADESH,Kangra,1510075,1339030,12.77,
UTTAR PRADESH,Kannauj,1656616,1388923,19.27,
TAMIL NADU,Kanniyakumari,1870374,1676034,11.60,
KERALA,Kannur,2523003,2408956,4.73,
UTTAR PRADESH,Kanpur Dehat,1796184,2408956,-25.44,
UTTAR PRADESH,Kanpur Nagar,4581268,2408956,90.18,
UTTAR PRADESH,Kanshiram Nagar,1436719,4167999,-65.53,
PUNJAB,Kapurthala,815168,754521,8.04,
PONDICHERRY,Karaikal,200222,170791,17.23,
RAJASTHAN,Karauli,1458248,1209665,20.55,
ASSAM,Karbi Anglong,956313,1209665,-20.94,
JAMMU AND KASHMIR,Kargil,140802,119307,18.02,
ASSAM,Karimganj,1228686,1007976,21.90,
ANDHRA PRADESH,Karimnagar,3776269,3491822,8.15,
HARYANA,Karnal,1505324,1274183,18.14,
TAMIL NADU,Karur,1064493,935686,13.77,
KERALA,Kasaragod,1307375,1204078,8.58,
JAMMU AND KASHMIR,Kathua,616435,550084,12.06,
BIHAR,Katihar,3071029,2392638,28.35,
MADHYA PRADESH,Katni,1292042,1064167,21.41,
UTTAR PRADESH,Kaushambi,1599596,1293154,23.70,
ORISSA,Kendrapara,1440361,1302005,10.63,
ORISSA,Kendujhar,1801733,1561990,15.35,
BIHAR,Khagaria,1666886,1280354,30.19,
ANDHRA PRADESH,Khammam,2797370,2578927,8.47,
MADHYA PRADESH,Khandwa (East Nimar),1310061,2578927,-49.20,
MADHYA PRADESH,Khargone (West Nimar),1873046,2578927,-27.37,
GUJARAT,Kheda,2299885,2024216,13.62,
UTTAR PRADESH,Kheri,4021243,3207232,25.38,
ORISSA,Khordha,2251673,1877395,19.94,
JHARKHAND,Khunti,531885,1877395,-71.67,
HIMACHAL PRADESH,Kinnaur,84121,78334,7.39,
NAGALAND,Kiphire,74004,78334,-5.53,
BIHAR,Kishanganj,1690400,1296348,30.40,
JAMMU AND KASHMIR,Kishtwar,230696,1296348,-82.20,
WEST BENGAL,Koch Bihar,2819086,1296348,117.46,
