State name,District name,Population 2011,Population 2001,% Change in population,
PUNJAB,Rupnagar,684627,1116108,-38.66,
GUJARAT,Sabar Kantha,2428589,1116108,117.59,
MADHYA PRADESH,Sagar,2378458,2021987,17.63,
UTTAR PRADESH,Saharanpur,3466382,2896863,19.66,
BIHAR,Saharsa,1900661,1508182,26.02,
JHARKHAND,Sahibganj,1150567,927770,24.01,
PUNJAB,Sahibzada Ajit Singh Nagar,994628,927770,7.21,
MIZORAM,Saiha,56574,61056,-7.34,
TAMIL NADU,Salem,3482056,3016346,15.44,
BIHAR,Samastipur,4261566,3394793,25.53,
JAMMU AND KASHMIR,Samba,318898,3394793,-90.61,
ORISSA,Sambalpur,1041099,935613,11.27,
MAHARASHTRA,Sangli,2822143,2583524,9.24,
PUNJAB,Sangrur,1655169,2000173,-17.25,
UTTAR PRADESH,Sant Kabir Nagar,1715183,2000173,-14.25,
UTTAR PRADESH,Sant Ravidas Nagar (Bhadohi),1578213,2000173,-21.10,
JHARKHAND,Saraikela-Kharsawan,1065056,1353705,-21.32,
BIHAR,Saran,3951862,3248701,21.64,
MAHARASHTRA,Satara,3003741,2808994,6.93,
MADHYA PRADESH,Satna,2228935,1870104,19.19,
RAJASTHAN,Sawai Madhopur,1335551,1870104,-28.58,
MADHYA PRADESH,Sehore,1311332,1078912,21.54,
MANIPUR,Senapati,479148,1078912,-55.59,
MADHYA PRADESH,Seoni,1379131,1166608,18.22,
MIZORAM,Serchhip,64937,53861,20.56,
MADHYA PRADESH,Shahdol,1066063,1575303,-32.33,
PUNJAB,Shahid Bhagat Singh Nagar,612310,1575303,-61.13,
UTTAR PRADESH,Shahjahanpur,3006538,2547855,18.00,
MADHYA PRADESH,Shajapur,1512681,1290685,17.20,
BIHAR,Sheikhpura,636342,525502,21.09,
BIHAR,Sheohar,656246,515961,27.19,
MADHYA PRADESH,Sheopur,687861,559495,22.94,
HIMACHAL PRADESH,Shimla,814010,722502,12.67,
KARNATAKA,Shimoga,1752753,1642545,6.71,
MADHYA PRADESH,Shivpuri,1726050,1441950,19.70,
UTTAR PRADESH,Shrawasti,1117361,1176391,-5.02,
JAMMU AND KASHMIR,Shupiyan,266215,1176391,-77.37,
UTTAR PRADESH,Siddharthnagar,2559297,2040085,25.45,
MADHYA PRADESH,Sidhi,1127033,1831152,-38.45,
RAJASTHAN,Sikar,2677333,2287788,17.03,
JHARKHAND,Simdega,599578,2287788,-73.79,
MAHARASHTRA,Sindhudurg,849651,868825,-2.21,
MADHYA PRADESH,Singrauli,1178273,868825,35.62,
HIMACHAL PRADESH,Sirmaur,529855,458593,15.54,
RAJASTHAN,Sirohi,1036346,851107,21.76,
HARYANA,Sirsa,1295189,1116649,15.99,
BIHAR,Sitamarhi,3423574,2682720,27.62,
UTTAR PRADESH,Sitapur,4483992,3619661,23.88,
TAMIL NADU,Sivaganga,1339101,1155356,15.90,
ASSAM,Sivasagar,1151050,1155356,-0.37,
BIHAR,Siwan,3330464,2714349,22.70,
HIMACHAL PRADESH,Solan,580320,500557,15.93,
MAHARASHTRA,Solapur,4317756,3849543,12.16,
UTTAR PRADESH,Sonbhadra,1862559,1463519,27.27,
HARYANA,Sonipat,1450001,1279175,13.35,
ASSAM,Sonitpur,1924110,1681513,14.43,
NCT OF DELHI,South,2731929,131525,'1,977.12',
ANDAMAN AND NICOBAR ISLANDS,South Andaman,238142,131525,81.06,
SIKKIM,South District,146850,131525,11.65,
MEGHALAYA,South Garo Hills,142334,131525,8.22,
GOA,South Goa,640537,131525,387.01,
TRIPURA,South Tripura,876001,131525,566.03,
WEST BENGAL,South Twenty Four Parganas,8161961,131525,'6,105.63',
NCT OF DELHI,South West,2292958,131525,'1,643.36',
ANDHRA PRADESH,Sri Potti Sriramulu Nellore,2963557,1755041,68.86,
ANDHRA PRADESH,Srikakulam,2703114,2537593,6.52,
JAMMU AND KASHMIR,Srinagar,1236829,1202447,2.86,
ORISSA,Subarnapur,610183,1202447,-49.25,
UTTAR PRADESH,Sultanpur,3797117,3214832,18.11,
ORISSA,Sundargarh,2093437,1830673,14.35,
BIHAR,Supaul,2229076,1732578,28.66,
GUJARAT,Surat,6081322,4995174,21.74,
GUJARAT,Surendranagar,1756268,1515148,15.91,
CHHATTISGARH,Surguja,2359886,1972094,19.66,
MANIPUR,Tamenglong,140651,111499,26.15,
GUJARAT,Tapi,807022,111499,623.79,
PUNJAB,Tarn Taran,1119627,111499,904.16,
ARUNACHAL PRADESH,Tawang,49977,38924,28.40,
UTTARAKHAND,Tehri Garhwal,618931,38924,'1,490.10',
MAHARASHTRA,Thane,11060148,8131849,36.01,
TAMIL NADU,Thanjavur,2405890,2216138,8.56,
GUJARAT,The Dangs,228291,2216138,-89.70,
TAMIL NADU,The Nilgiris,735394,2216138,-66.82,
TAMIL NADU,Theni,1245899,1093950,13.89,
TAMIL NADU,Thiruvallur,3728104,2754756,35.33,
KERALA,Thiruvananthapuram,3301427,3234356,2.07,
TAMIL NADU,Thiruvarur,1264277,1169474,8.11,
TAMIL NADU,Thoothukkudi,1750176,1572273,11.32,
MANIPUR,Thoubal,422168,364140,15.94,
KERALA,Thrissur,3121200,2974232,4.94,
MADHYA PRADESH,Tikamgarh,1445166,1202998,20.13,
ASSAM,Tinsukia,1327929,1150062,15.47,
ARUNACHAL PRADESH,Tirap,111975,100326,11.61,
TAMIL NADU,Tiruchirappalli,2722290,2418366,12.57,
TAMIL NADU,Tirunelveli,3077233,2723988,12.97,
TAMIL NADU,Tiruppur,2479052,2723988,-8.99,
TAMIL NADU,Tiruvannamalai,2464875,2186125,12.75,
RAJASTHAN,Tonk,1421326,1211671,17.30,
NAGALAND,Tuensang,196596,414818,-52.61,
KARNATAKA,Tumkur,2678980,2584711,3.65,
RAJASTHAN,Udaipur,3068420,2633312,16.52,
ASSAM,Udalguri,831668,2633312,-68.42,
UTTARAKHAND,Udham Singh Nagar,1648902,2633312,-37.38,
JAMMU AND KASHMIR,Udhampur,554985,2633312,-78.92,
KARNATAKA,Udupi,1177361,1112243,5.85,
MADHYA PRADESH,Ujjain,1986864,1710982,16.12,
MANIPUR,Ukhrul,183998,140778,30.70,
MADHYA PRADESH,Umaria,644758,515963,24.96,
HIMACHAL PRADESH,Una,521173,448273,16.26,
UTTAR PRADESH,Unnao,3108367,2700324,15.11,
ARUNACHAL PRADESH,Upper Siang,35320,2700324,-98.69,
ARUNACHAL PRADESH,Upper Subansiri,83448,2700324,-96.91,
CHHATTISGARH,Uttar Bastar Kanker,748941,55346,'1,253.20',
WEST BENGAL,Uttar Dinajpur,3007134,55346,'5,333.34',
KARNATAKA,Uttara Kannada,1437169,55346,'2,496.70',
UTTARAKHAND,Uttarkashi,330086,295013,11.89,
GUJARAT,Vadodara,4165626,3641802,14.38,
BIHAR,Vaishali,3495021,2718421,28.57,
GUJARAT,Valsad,1705678,1410553,20.92,
UTTAR PRADESH,Varanasi,3676841,3138671,17.15,
TAMIL NADU,Vellore,3936331,3477317,13.20,
MADHYA PRADESH,Vidisha,1458875,1214857,20.09,
TAMIL NADU,Viluppuram,3458873,2960373,16.84,
TAMIL NADU,Virudhunagar,1942288,1751301,10.91,
ANDHRA PRADESH,Visakhapatnam,4290589,3832336,11.96,
ANDHRA PRADESH,Vizianagaram,2344474,2249254,4.23,
ANDHRA PRADESH,Warangal,3512576,3246004,8.21,
MAHARASHTRA,Wardha,1300774,1236736,5.18,
MAHARASHTRA,Washim,1197160,1020216,17.34,
KERALA,Wayanad,817420,780619,4.71,
NCT OF DELHI,West,2543243,123256,'1,963.38',
SIKKIM,West District,136435,123256,10.69,
MEGHALAYA,West Garo Hills,643291,123256,421.91,
ANDHRA PRADESH,West Godavari,3936966,123256,'3,094.14',
ARUNACHAL PRADESH,West Kameng,83947,123256,-31.89,
MEGHALAYA,West Khasi Hills,383461,123256,211.11,
ARUNACHAL PRADESH,West Siang,112274,123256,-8.91,
TRIPURA,West Tripura,1725739,123256,'1,300.13',
NAGALAND,Wokha,166343,161223,3.18,
ANDHRA PRADESH,Y.S.R.,2882469,161223,'1,687.88',
KARNATAKA,Yadgir,1174271,161223,628.35,
HARYANA,Yamunanagar,1214205,1041630,16.57,
PONDICHERRY,Yanam,55626,31394,77.19,
MAHARASHTRA,Yavatmal,2772348,2458271,12.78,
NAGALAND,Zunheboto,140757,153955,-8.57,
